枠,実戦採用順位,単体貢献順位,キャラID,名前,コスト,HP,Power,スキルターン,スキル種類,機会勝率差,安定補正後差,同一4枠差し替え勝率差,差し替え安定補正後差,候補勝率,代替勝率,候補デッキ,代替デッキ,同一4枠差し替えデッキ,評価状態
1,11,11,em-84589d5b3594,コロちゃん,11,1551,1551,1,attack_buff,-0.0139,-0.0645,0,0,0.8681,0.8819,コロちゃん / カルボ姉（ねえ） / 偉人さんトーマスん / グラン・プラスの魔女 / いーびルン,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,三重子大先生 / カルボ姉（ねえ） / 偉人さんトーマスん / グラン・プラスの魔女 / いーびルン,complete
1,12,12,em-d07cd0c8b0b0,二条城☆浴衣モード,19,2656,2495,1,attribute_guard,-0.0486,-0.1054,0,0,0.8333,0.8819,二条城☆浴衣モード / 大患部！ぴよ子大佐 / あっぴーの外出 / グラン・プラスの魔女 / ハトラちゃん,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,二条嬢☆浴衣モード / 大患部！ぴよ子大佐 / あっぴーの外出 / グラン・プラスの魔女 / ハトラちゃん,complete
1,13,13,manual-nijo-yukata-mode,二条嬢☆浴衣モード,19,2656,2495,1,attribute_guard,-0.0486,-0.1054,0,0,0.8333,0.8819,二条嬢☆浴衣モード / 大患部！ぴよ子大佐 / あっぴーの外出 / グラン・プラスの魔女 / ハトラちゃん,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,二条城☆浴衣モード / 大患部！ぴよ子大佐 / あっぴーの外出 / グラン・プラスの魔女 / ハトラちゃん,complete
1,14,14,em-d09d2f80d34e,トマティーナ少佐,16,3748,2130,2,multi_hit_attack,-0.0139,-0.0558,0.0278,-0.0029,0.8681,0.8819,トマティーナ少佐 / カルボ姉（ねえ） / 称えよ☆メジェド様！ / パプアさん / 巨大カンテツ,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,トリニダの怪人 / カルボ姉（ねえ） / 称えよ☆メジェド様！ / パプアさん / 巨大カンテツ,complete
1,15,15,em-a7fc49aa8c73,広報担当：アッシュ,37,5112,3748,2,attribute_guard,-0.0278,-0.0828,0.0208,-0.0058,0.8542,0.8819,広報担当：アッシュ / カルボ姉（ねえ） / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / 腹話フック / 巨大カンテツ,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,ダンブッラの蘭 / カルボ姉（ねえ） / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / 腹話フック / 巨大カンテツ,complete
1,16,16,em-cf1f3fbef79d,紅玉の供犠ぴよ子,6,1609,1609,0,none,-0.0208,-0.0781,0.0069,-0.013,0.8611,0.8819,紅玉の供犠ぴよ子 / カルボ姉（ねえ） / 傾国の二条嬢 / グラン・プラスの魔女 / 巨大カンテツ,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,収穫ぴよ子 / カルボ姉（ねえ） / 傾国の二条嬢 / グラン・プラスの魔女 / 巨大カンテツ,complete
1,17,18,em-a7be30f0211a,烏枢さま降臨！,13,1359,2416,2,attack_buff,-0.0208,-0.0722,-0.0069,-0.0158,0.8611,0.8819,烏枢さま降臨！ / カルボ姉（ねえ） / 偉人さんトーマスん / グラン・プラスの魔女 / いーびルン,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,コロちゃん / カルボ姉（ねえ） / 偉人さんトーマスん / グラン・プラスの魔女 / いーびルン,complete
1,18,17,em-6a0e464e2855,収穫ぴよ子,10,1426,1304,1,attribute_change,-0.0278,-0.0782,-0.0069,-0.0158,0.8542,0.8819,収穫ぴよ子 / カルボ姉（ねえ） / あっぴーの外出 / グラン・プラスの魔女 / いーびルン,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,コロちゃん / カルボ姉（ねえ） / あっぴーの外出 / グラン・プラスの魔女 / いーびルン,complete
1,19,21,em-30793b1211b4,ウルルさんは役者やで,15,1310,2189,1,damage_reduction,-0.0069,-0.0599,0,-0.0219,0.875,0.8819,ウルルさんは役者やで / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / いーびルン,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,三重子大先生 / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / いーびルン,complete
1,20,20,em-c57874d99dcd,三重子大先生,11,1699,1699,1,attribute_change,-0.0069,-0.0628,0,-0.0219,0.875,0.8819,三重子大先生 / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / いーびルン,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,ウルルさんは役者やで / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / いーびルン,complete
1,21,19,em-7a8f08b97855,カルボ姉（ねえ）,18,3792,2556,1,multi_hit_attack,-0.0278,-0.0813,0,-0.0219,0.8403,0.8681,カルボ姉（ねえ） / 壺風味の何か / 広報担当：アッシュ / 漆黒及び純白のポワン / 有馬スター,大抵カールのせい / ペーチパイセン / 漆黒及び純白のポワン / 旧市街地の魔物 / 勇者オトシゴ,牛タソ☆行進曲 / 壺風味の何か / 広報担当：アッシュ / 漆黒及び純白のポワン / 有馬スター,complete
1,22,22,em-4c2a43ecd770,ナンマトル君,14,2115,2115,2,skill_reduction,-0.0208,-0.0752,-0.0139,-0.0264,0.8611,0.8819,ナンマトル君 / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / いーびルン,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,ウルルさんは役者やで / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / いーびルン,partial-skill-support
1,23,23,em-225255ba2e90,華美なるミシュル嬢,22,3864,2524,1,heal,-0.0625,-0.1161,0.0069,-0.0299,0.8194,0.8819,華美なるミシュル嬢 / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / おこしんMK-2,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,ウルルさんは役者やで / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / おこしんMK-2,complete
1,24,28,em-c358a9d61a43,PiぐPeんとBiぐBeん,15,1208,1510,2,attack_buff,-0.0208,-0.0737,-0.0139,-0.0317,0.8611,0.8819,PiぐPeんとBiぐBeん / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / いーびルン,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,ウルルさんは役者やで / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / いーびルン,complete
1,25,27,em-712f122e2051,オロモ君は欝気味,17,1536,2684,1,guard,-0.0417,-0.095,-0.0139,-0.0317,0.8403,0.8819,オロモ君は欝気味 / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / ハトラちゃん,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,三重子大先生 / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / ハトラちゃん,complete
1,26,24,em-629cc99564e0,帝王ヒルズ様,17,1867,3333,1,attack_buff,-0.0556,-0.1208,-0.0139,-0.0317,0.8264,0.8819,帝王ヒルズ様 / 壺風味の何か / 広報担当：アッシュ / 漆黒及び純白のポワン / 有馬スター,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,牛タソ☆行進曲 / 壺風味の何か / 広報担当：アッシュ / 漆黒及び純白のポワン / 有馬スター,complete
1,27,25,em-1a3ab3b1acf7,聖☆いんてぃないか,19,2817,2334,4,aoe_attack,-0.0625,-0.1204,-0.0139,-0.0317,0.8194,0.8819,聖☆いんてぃないか / 大患部！ぴよ子大佐 / あっぴーの外出 / グラン・プラスの魔女 / ハトラちゃん,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,二条城☆浴衣モード / 大患部！ぴよ子大佐 / あっぴーの外出 / グラン・プラスの魔女 / ハトラちゃん,complete
1,28,26,em-52b1a63b86dd,ヤマさんヤミーさん,27,1288,3220,1,attack_buff,-0.0833,-0.1453,-0.0139,-0.0317,0.7986,0.8819,ヤマさんヤミーさん / カルボ姉（ねえ） / 傾国の二条嬢 / 漆黒及び純白のポワン / 巨大カンテツ,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,オロモ君は欝気味 / カルボ姉（ねえ） / 傾国の二条嬢 / 漆黒及び純白のポワン / 巨大カンテツ,complete
1,29,29,em-587d1ec0e30f,偉人さんトーマスん,14,1359,2038,2,attribute_change,-0.0208,-0.0781,-0.0139,-0.0357,0.8611,0.8819,偉人さんトーマスん / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / いーびルン,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,ウルルさんは役者やで / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / いーびルン,complete
1,30,31,em-e6496091dd0f,シャーミーくん,20,2948,2556,1,attack_buff,-0.0486,-0.1011,-0.0208,-0.036,0.8333,0.8819,シャーミーくん / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / ハトラちゃん,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,三重子大先生 / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / ハトラちゃん,complete
1,31,30,em-99eb90e0260f,傾国の二条嬢,17,2656,2495,2,attribute_guard,-0.0625,-0.1257,-0.0208,-0.036,0.8194,0.8819,傾国の二条嬢 / 壺風味の何か / 広報担当：アッシュ / 漆黒及び純白のポワン / 有馬スター,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,牛タソ☆行進曲 / 壺風味の何か / 広報担当：アッシュ / 漆黒及び純白のポワン / 有馬スター,complete
1,32,32,em-e121ae05cb4a,戦国ドラグーン,32,3919,5112,0,attribute_change,-0.0903,-0.154,0,-0.038,0.7917,0.8819,戦国ドラグーン / カルボ姉（ねえ） / ウサポワン海人 / 漆黒及び純白のポワン / おこしんMK-2,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,GSPS！秀郷先生 / カルボ姉（ねえ） / ウサポワン海人 / 漆黒及び純白のポワン / おこしんMK-2,complete
1,33,33,em-d1a3ff650b2f,メテオ大好きっこ,26,4669,3229,0,attack_buff,-0.1042,-0.1635,0,-0.038,0.7778,0.8819,メテオ大好きっこ / カルボ姉（ねえ） / パプアさん / 漆黒及び純白のポワン / おこしんMK-2,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,いろはの曙ちゃん / カルボ姉（ねえ） / パプアさん / 漆黒及び純白のポワン / おこしんMK-2,complete
1,34,35,em-b422734eb78b,たたーる星人,15,1812,1510,2,attack_buff,-0.0208,-0.0722,-0.0139,-0.0391,0.8611,0.8819,たたーる星人 / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / いーびルン,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,ウルルさんは役者やで / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / いーびルン,complete
1,35,34,em-684248c89e03,ストックレー帝,22,3013,3181,0,attribute_change,-0.0903,-0.143,-0.0139,-0.0391,0.7917,0.8819,ストックレー帝 / カルボ姉（ねえ） / あっぴーの外出 / グラン・プラスの魔女 / ネオけいび,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,シャーミーくん / カルボ姉（ねえ） / あっぴーの外出 / グラン・プラスの魔女 / ネオけいび,complete
1,36,37,em-cea68c425163,跛荒の鉄男大先生,51,4686,6625,3,multi_hit_attack,-0.0208,-0.0752,-0.0069,-0.0392,0.8611,0.8819,跛荒の鉄男大先生 / 乗っとるダム制度君 / 漆黒及び純白のポワン / 月見だよ！叡智州利偉 / ハトラちゃん,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,大抵カールのせい / 乗っとるダム制度君 / 漆黒及び純白のポワン / 月見だよ！叡智州利偉 / ハトラちゃん,complete
1,37,36,em-abcae044297d,ラ・ショー・ドさん,44,5453,3424,5,delay,-0.0764,-0.1249,-0.0069,-0.0392,0.8056,0.8819,ラ・ショー・ドさん / カルボ姉（ねえ） / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / 大森銀さま / 巨大カンテツ,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,広報担当：アッシュ / カルボ姉（ねえ） / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / 大森銀さま / 巨大カンテツ,partial-skill-support
1,38,38,em-344c7687cce5,アウス大先輩,17,1924,1924,2,attribute_change,-0.0556,-0.1115,-0.0208,-0.0406,0.8264,0.8819,アウス大先輩 / カルボ姉（ねえ） / あっぴーの外出 / グラン・プラスの魔女 / ハトラちゃん,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,コロちゃん / カルボ姉（ねえ） / あっぴーの外出 / グラン・プラスの魔女 / ハトラちゃん,complete
1,39,39,em-59dbe02c39e1,吸血くん,18,1757,3067,1,attribute_guard,-0.0625,-0.127,-0.0208,-0.0406,0.8194,0.8819,吸血くん / 壺風味の何か / 広報担当：アッシュ / 漆黒及び純白のポワン / 有馬スター,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,牛タソ☆行進曲 / 壺風味の何か / 広報担当：アッシュ / 漆黒及び純白のポワン / 有馬スター,complete
1,40,40,em-3ac00001d30a,ネギの向こう側,20,2262,2273,0,heal,-0.0486,-0.1108,-0.0069,-0.0416,0.8333,0.8819,ネギの向こう側 / 壺風味の何か / もん親方 / 漆黒及び純白のポワン / 巨大カンテツ,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,スースちゃん / 壺風味の何か / もん親方 / 漆黒及び純白のポワン / 巨大カンテツ,complete
1,41,41,em-5f5281ba5e2a,黄泉還り！反魂タン,9,1812,1963,3,revive,-0.0278,-0.0813,-0.0208,-0.0443,0.8542,0.8819,黄泉還り！反魂タン / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / いーびルン,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,ウルルさんは役者やで / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / いーびルン,complete
1,42,42,em-d0ab149939aa,製鉄所★澤先輩,24,5313,1771,3,skill_reduction,0.0069,-0.046,,,0.8819,0.875,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,ウルルさんは役者やで / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / いーびルン,,partial-skill-support
1,43,43,em-1eb5e932843b,ダンブッラの蘭,38,5112,3578,2,damage_reduction,-0.0486,-0.104,-0.0208,-0.0475,0.8333,0.8819,ダンブッラの蘭 / カルボ姉（ねえ） / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / 腹話フック / 巨大カンテツ,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,広報担当：アッシュ / カルボ姉（ねえ） / 琵琶子ｲﾘｭｰｼﾞｮﾝ！ / 腹話フック / 巨大カンテツ,complete
1,44,46,em-f70fc38ed477,栗栖　益子さん,40,4175,4106,4,multi_hit_attack,-0.0208,-0.0766,-0.0069,-0.0499,0.8611,0.8819,栗栖　益子さん / 乗っとるダム制度君 / 漆黒及び純白のポワン / 月見だよ！叡智州利偉 / ハトラちゃん,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,大抵カールのせい / 乗っとるダム制度君 / 漆黒及び純白のポワン / 月見だよ！叡智州利偉 / ハトラちゃん,complete
1,45,45,em-b6adaf9bf556,こうせえっつう女中,17,805,2898,0,attack_buff,-0.0347,-0.0889,-0.0069,-0.0499,0.8472,0.8819,こうせえっつう女中 / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / ハトラちゃん,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,三重子大先生 / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / ハトラちゃん,complete
1,46,44,em-42c90dd17240,GSPS！秀郷先生,34,3578,4601,2,attack_buff,-0.0625,-0.1204,-0.0069,-0.0499,0.8194,0.8819,GSPS！秀郷先生 / カルボ姉（ねえ） / 漆黒及び純白のポワン / 大森銀さま / 巨大カンテツ,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,高野さん / カルボ姉（ねえ） / 漆黒及び純白のポワン / 大森銀さま / 巨大カンテツ,complete
1,47,47,em-c4b0b6848f16,?????,17,2828,2470,3,skill_reduction,-0.0556,-0.117,-0.0139,-0.0518,0.8264,0.8819,????? / 壺風味の何か / もん親方 / 漆黒及び純白のポワン / 巨大カンテツ,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,スースちゃん / 壺風味の何か / もん親方 / 漆黒及び純白のポワン / 巨大カンテツ,partial-skill-support
1,48,48,em-7e70673d97ae,セント・キルダ音楽隊,13,1344,1963,0,attribute_guard,-0.0347,-0.0932,-0.0278,-0.0527,0.8472,0.8819,セント・キルダ音楽隊 / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / いーびルン,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,ウルルさんは役者やで / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / いーびルン,complete
1,49,49,em-3a0ce37a12ff,おこしんMK-2,8,1510,2265,4,multi_hit_attack,-0.0486,-0.1082,-0.0278,-0.0527,0.8333,0.8819,おこしんMK-2 / カルボ姉（ねえ） / 傾国の二条嬢 / グラン・プラスの魔女 / 巨大カンテツ,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,紅玉の供犠ぴよ子 / カルボ姉（ねえ） / 傾国の二条嬢 / グラン・プラスの魔女 / 巨大カンテツ,complete
1,50,52,em-d08c9e36ef51,地獄雀！阿蘇さん,17,3413,2061,1,attribute_guard,-0.0486,-0.1054,-0.0208,-0.053,0.8333,0.8819,地獄雀！阿蘇さん / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / ハトラちゃん,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,三重子大先生 / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / ハトラちゃん,complete
1,51,50,em-1de8c880f196,ヴィヒー先生,17,2114,2718,2,damage_reduction,-0.0903,-0.143,-0.0208,-0.053,0.7917,0.8819,ヴィヒー先生 / カルボ姉（ねえ） / あっぴーの外出 / グラン・プラスの魔女 / 夜魔・マヤー,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,地獄雀！阿蘇さん / カルボ姉（ねえ） / あっぴーの外出 / グラン・プラスの魔女 / 夜魔・マヤー,complete
1,52,51,em-2c6fd048179d,ジョン・鮭児,23,1448,2726,0,attack_buff,-0.0903,-0.1514,-0.0208,-0.053,0.7917,0.8819,ジョン・鮭児 / カルボ姉（ねえ） / 傾国の二条嬢 / 漆黒及び純白のポワン / 巨大カンテツ,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,オロモ君は欝気味 / カルボ姉（ねえ） / 傾国の二条嬢 / 漆黒及び純白のポワン / 巨大カンテツ,complete
1,53,53,em-57dce5f944a3,うらうらら,50,4260,6390,4,multi_hit_attack,-0.0278,-0.0813,-0.0139,-0.0558,0.8542,0.8819,うらうらら / 乗っとるダム制度君 / 漆黒及び純白のポワン / 月見だよ！叡智州利偉 / ハトラちゃん,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,大抵カールのせい / 乗っとるダム制度君 / 漆黒及び純白のポワン / 月見だよ！叡智州利偉 / ハトラちゃん,complete
1,54,54,em-285a6b18bfb1,いろはの曙ちゃん,18,2705,2705,0,heal,-0.0417,-0.0979,-0.0139,-0.0577,0.8403,0.8819,いろはの曙ちゃん / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / ハトラちゃん,製鉄所★澤先輩 / カルボ姉（ねえ） / 漆黒及び純白のポワン / ちび丸のハロウィン / 巨大カンテツ,三重子大先生 / カルボ姉（ねえ） / 牛タソ☆行進曲 / グラン・プラスの魔女 / ハトラちゃん,complete
